file_name,date_image,site_ID,species,fish_ID,standard_length (mm),total_length (mm)
IMG_20220811_165854972,2022-08-11,Weslaco,Poecilia formosa,PF-60,,
IMG_20220804_173022632_HDR,2022-08-04,Brownsville,,NA,42.066,50.768
IMG_20220804_173029499_HDR,2022-08-04,Brownsville,,NA,42.771,51.991
IMG_20220804_173101116_HDR,2022-08-04,Brownsville,,NA,43.300,52.981
IMG_20220804_173124452_HDR,2022-08-04,Brownsville,,NA,42.355,51.842
IMG_20220804_173142777_HDR,2022-08-04,Brownsville,,NA,37.888,45.138
IMG_20220804_173203747_HDR,2022-08-04,Brownsville,,NA,32.958,40.895
IMG_20220804_173222942_BURST000_COVER,2022-08-04,Brownsville,,NA,37.330,46.177
IMG_20220804_173309900_HDR,2022-08-04,Brownsville,,NA,30.113,35.838
IMG_20220804_173917847_HDR,2022-08-04,Brownsville,,NA,30.211,34.894
IMG_20220805_185859812,2022-08-05,NA,,Pilot 3,43.149,50.975
IMG_20220805_185939379,2022-08-05,NA,,Pilot 3,37.943,46.541
IMG_20220805_185942749,2022-08-05,NA,,Pilot 3,40.261,48.678
IMG_20220805_190004860,2022-08-05,NA,,Pilot 3,35.059,42.585
IMG_20220805_190041233,2022-08-05,NA,,Pilot 3,35.794,44.383
IMG_20220805_190116615,2022-08-05,NA,,Pilot 3,26.498,32.639
IMG_20220805_190120169,2022-08-05,NA,,Pilot 3,22.678,28.110
IMG_20220806_091404660_HDR,2022-08-06,Weslaco,,NA,54.753,65.392
IMG_20220806_091431513_HDR,2022-08-06,Weslaco,,NA,44.854,57.963
IMG_20220806_091503710_HDR,2022-08-06,Weslaco,,NA,47.207,59.276
IMG_20220806_091535671_HDR,2022-08-06,Weslaco,,NA,23.395,28.011
IMG_20220806_091615885_HDR,2022-08-06,Weslaco,,NA,28.000,35.282
IMG_20220806_092655997_HDR,2022-08-06,Weslaco,,NA,29.564,35.631
IMG_20220806_092659555_HDR,2022-08-06,Weslaco,,NA,31.174,37.860
IMG_20220806_092817166,2022-08-06,Weslaco,,NA,24.011,30.547
IMG_20220806_092930597_HDR,2022-08-06,Weslaco,,NA,24.484,29.995
IMG_20220806_093001698_HDR,2022-08-06,Weslaco,,NA,34.090,39.875
IMG_20220806_093031413_HDR,2022-08-06,Weslaco,,NA,25.649,33.573
IMG_20220806_093956363,2022-08-06,Weslaco,,NA,112.018,129.557
IMG_20220806_094048752,2022-08-06,Weslaco,,NA,25.073,31.449
IMG_20220806_094141863,2022-08-06,Weslaco,,NA,31.279,37.974
IMG_20220806_094759482_HDR,2022-08-06,Weslaco,,NA,20.320,23.914
IMG_20220806_101027542_HDR,2022-08-06,Weslaco,,NA,39.339,46.838
IMG_20220806_101326881_HDR,2022-08-06,Weslaco,,NA,32.126,39.283
IMG_20220806_101425806_HDR,2022-08-06,Weslaco,,NA,23.503,28.398
IMG_20220806_101515182_HDR,2022-08-06,Weslaco,,NA,52.686,67.517
IMG_20220806_101533710_HDR,2022-08-06,Weslaco,,NA,44.674,56.770
IMG_20220806_101556418_HDR,2022-08-06,Weslaco,,NA,41.703,54.151
IMG_20220806_101611057_HDR,2022-08-06,Weslaco,,NA,44.003,56.880
IMG_20220806_101626366_HDR,2022-08-06,Weslaco,,NA,40.070,51.783
IMG_20220806_101811167_HDR,2022-08-06,Weslaco,,NA,27.210,33.744
IMG_20220806_101842235_HDR,2022-08-06,Weslaco,,NA,29.153,34.910
IMG_20220806_101858373_HDR,2022-08-06,Weslaco,,NA,30.644,37.965
IMG_20220806_101928456_HDR,2022-08-06,Weslaco,,NA,24.284,30.967
IMG_20220806_105234363_HDR,2022-08-06,Weslaco,,NA,23.903,29.582
IMG_20220806_105255257_HDR,2022-08-06,Weslaco,,NA,101.562,123.710
IMG_20220806_105430194_HDR,2022-08-06,Weslaco,,NA,19.740,24.551
IMG_20220806_105532650_HDR,2022-08-06,Weslaco,,NA,24.805,31.595
IMG_20220806_105534426_HDR,2022-08-06,Weslaco,,NA,23.075,28.353
IMG_20220806_105611014_HDR,2022-08-06,Weslaco,,NA,36.871,46.602
IMG_20220806_105629594_HDR,2022-08-06,Weslaco,,NA,17.300,23.255
IMG_20220806_105649744_HDR,2022-08-06,Weslaco,,NA,26.855,33.557
IMG_20220806_105817982_HDR,2022-08-06,Weslaco,,NA,45.814,55.382
IMG_20220806_110147900_HDR,2022-08-06,Weslaco,,NA,54.810,65.471
IMG_20220806_110303018_HDR,2022-08-06,Weslaco,,NA,36.031,43.228
IMG_20220806_110346506_HDR,2022-08-06,Weslaco,,NA,21.400,25.830
IMG_20220806_110455120,2022-08-06,Weslaco,,NA,19.421,23.157
IMG_20220806_110456533_HDR,2022-08-06,Weslaco,,NA,19.573,23.699
IMG_20220806_110546032,2022-08-06,Weslaco,,NA,26.534,30.394
IMG_20220806_110554953,2022-08-06,Weslaco,,NA,21.776,25.574
IMG_20220806_110642315,2022-08-06,Weslaco,,NA,22.054,27.052
IMG_20220806_110737519,2022-08-06,Weslaco,,NA,29.590,36.471
IMG_20220806_110836080,2022-08-06,Weslaco,,NA,19.425,23.514
IMG_20220806_110915425,2022-08-06,Weslaco,,NA,28.607,35.874
IMG_20220806_111018654,2022-08-06,Weslaco,,NA,22.978,26.601
IMG_20220806_111057124,2022-08-06,Weslaco,,NA,22.863,27.901
IMG_20220806_111157408,2022-08-06,Weslaco,,NA,20.002,24.792
IMG_20220806_111303235,2022-08-06,Weslaco,,NA,20.743,25.711
IMG_20220806_111427673,2022-08-06,Weslaco,,NA,24.515,29.873
IMG_20220806_111451491,2022-08-06,Weslaco,,NA,27.678,34.898
IMG_20220806_111640121,2022-08-06,Weslaco,,NA,21.778,26.482
IMG_20220806_111746645_HDR,2022-08-06,Weslaco,,NA,52.146,65.261
IMG_20220806_181615464_HDR,2022-08-06,Weslaco,,NA,50.543,62.52
IMG_20220806_181653739_HDR,2022-08-06,Brownsville ,,NA,31.633,38.354
IMG_20220806_181714106_HDR,2022-08-06,Brownsville ,,NA,38.924,47.086
IMG_20220806_181738055_HDR,2022-08-06,Brownsville ,,NA,35.144,41.887
IMG_20220806_181800052_HDR,2022-08-06,Brownsville,,NA,35.923,44.255
IMG_20220806_181831737_HDR,2022-08-06,Brownsville,,NA,29.253,34.273
IMG_20220806_181909828_HDR,2022-08-06,Brownsville,,NA,28.249,34.732
IMG_20220806_181914067_HDR,2022-08-06,Brownsville,,NA,27.103,32.778
IMG_20220806_181933131_HDR,2022-08-06,Brownsville,,NA,36.107,43.395
IMG_20220806_182003141_HDR,2022-08-06,Brownsville,,NA,29.615,38.803
IMG_20220806_182031142,2022-08-06,Brownsville,,NA,26.827,33.12
IMG_20220806_182057440_HDR,2022-08-06,Brownsville,,NA,28.838,36.337
IMG_20220806_182136363_HDR,2022-08-06,Brownsville,,NA,37.088,44.106
IMG_20220806_182203215_HDR,2022-08-06,Brownsville,,NA,24.362,30.21
IMG_20220806_182222285_HDR,2022-08-06,Brownsville,,NA,41.559,48.186
IMG_20220806_182237672_HDR,2022-08-06,Brownsville,,NA,27.886,34.242
IMG_20220806_182255285_HDR,2022-08-06,Brownsville,,NA,37.424,43.848
IMG_20220806_182325572_HDR,2022-08-06,Brownsville,,NA,24.193,28.171
IMG_20220806_182434488_HDR,2022-08-06,Brownsville,,NA,28.389,34.347
IMG_20220806_182605121_HDR,2022-08-06,Brownsville,,NA,38.669,44.182
IMG_20220806_182629044_HDR,2022-08-06,Brownsville,,NA,37.587,45.166
IMG_20220806_182639381_HDR,2022-08-06,Brownsville,,NA,27.774,33.191
IMG_20220806_182655269_HDR,2022-08-06,Brownsville,,NA,20.580,25.443
IMG_20220806_182714698_HDR,2022-08-06,Brownsville,,NA,28.104,33.791
IMG_20220806_182739815_HDR,2022-08-06,Brownsville,,NA,51.270,64.098
IMG_20220807_114902419,2022-08-07,Weslaco ,,NA,26.896,32.355
IMG_20220807_114956933,2022-08-07,Weslaco ,,NA,36.195,41.995
IMG_20220807_115050511_BURST000_COVER,2022-08-07,Weslaco ,,NA,27.729,31.846
IMG_20220807_115131796,2022-08-07,Weslaco ,,NA,28.623,33.626
IMG_20220807_115150670,2022-08-07,Weslaco ,,NA,28.786,34.88
IMG_20220807_115206970,2022-08-07,Weslaco ,,NA,24.347,28.727
IMG_20220807_115226033,2022-08-07,Weslaco ,,NA,31.993,39.046
IMG_20220807_115248625,2022-08-07,Weslaco ,,NA,34.783,41.265
IMG_20220807_115310049,2022-08-07,Weslaco ,,NA,34.123,41.026
IMG_20220807_115323137,2022-08-07,Weslaco ,,NA,32.053,37.041
IMG_20220807_115347894,2022-08-07,Weslaco ,,NA,27.033,31.639
IMG_20220807_115409621,2022-08-07,Weslaco ,,NA,32.455,40.409
MG_20220807_115425768,2022-08-07,Weslaco ,,NA,23.681,27.86
IMG_20220807_115451944,2022-08-07,Weslaco ,,NA,28.149,34.549
IMG_20220807_115504384,2022-08-07,Weslaco ,,NA,33.292,41.092
IMG_20220807_115523619,2022-08-07,Weslaco ,,NA,24.321,29.282
IMG_20220807_115537133,2022-08-07,Weslaco ,,NA,26.501,30.396
IMG_20220807_115557504,2022-08-07,Weslaco ,,NA,31.577,38.193
IMG_20220807_115650293,2022-08-07,Weslaco ,,NA,33.577,39.054
IMG_20220807_115701790,2022-08-07,Weslaco ,,NA,35.160,40.523
IMG_20220807_115722447,2022-08-07,Weslaco ,,NA,28.196,30.313
IMG_20220807_115732773,2022-08-07,Weslaco ,,NA,73.429,92.597
IMG_20220807_115753439,2022-08-07,Weslaco ,,NA,34.327,42.662
IMG_20220807_115806724,2022-08-07,Weslaco ,,NA,56.210,67.735
IMG_20220807_115817522,2022-08-07,Weslaco ,,NA,38.625,47.744
IMG_20220807_115830228,2022-08-07,Weslaco ,,NA,33.774,41.057
IMG_20220807_115844066,2022-08-07,Weslaco ,,NA,34.101,40.514
IMG_20220807_115913642,2022-08-07,Weslaco ,,NA,48.967,58.71
IMG_20220807_115924973,2022-08-07,Weslaco ,,NA,46.261,55.379
IMG_20220807_115951584,2022-08-07,Weslaco ,,NA,60.617,72.418
IMG_20220807_120005109,2022-08-07,Weslaco ,,NA,28.632,34.019
IMG_20220807_120034360,2022-08-07,Weslaco ,,NA,60.359,72.734
IMG_20220807_120053596,2022-08-07,Weslaco ,,NA,70.385,88.652
IMG_20220807_120209030,2022-08-07,Weslaco ,,NA,47.972,57.966
IMG_20220807_155019762,2022-08-07,Brownsville,,PL-1,26.555,27.569
IMG_20220807_155214400,2022-08-07,Brownsville,,PL-2,37.198,44.291
IMG_20220807_155430263,2022-08-07,Brownsville,,PL-1,22.319,22.619
IMG_20220807_155833743,2022-08-07,Brownsville,,PL-3,45.763,50.908
IMG_20220807_160053392,2022-08-07,Brownsville,,PL-2,24.791,24.791
IMG_20220807_160250102,2022-08-07,Brownsville,,PL-4,29.367,31.143
IMG_20220807_173221938,2022-08-07,Weslaco,,PL-3,41.482,48.451
IMG_20220807_173630504,2022-08-07,Weslaco,,PL-4,28.034,31.394
IMG_20220807_173808333,2022-08-07,Weslaco,,PL-5,31.874,40.453
IMG_20220807_174029799,2022-08-07,Weslaco,,PL-5,26.223,33.211
IMG_20220807_174654766,2022-08-07,Weslaco,,PL-6,50.911,63.352
IMG_20220807_174903697,2022-08-07,Weslaco,,PL-6,51.991,60.176
IMG_20220807_175021927,2022-08-07,Weslaco,,PL-7,44.486,50.253
IMG_20220807_175218619,2022-08-07,Weslaco,,PL-8,28.998,36.068
IMG_20220807_180259438,2022-08-07,Weslaco,,PL-7,25.933,32.271
IMG_20220807_175946676,2022-08-07,Weslaco,,PL-7,26.122,32.137
IMG_20220807_180419424,2022-08-07,Weslaco,,PL-9,28.360,31.574
IMG_20220807_180825578,2022-08-07,Weslaco,,PL-10,36.729,39.524
IMG_20220807_181156610,2022-08-07,Weslaco,,PL-11,31.754,38.193
IMG_20220807_181432107,2022-08-07,Weslaco,,PL- 12,32.345,40.403
IMG_20220807_181639661,2022-08-07,Weslaco,,PL-13,34.796,40.353
IMG_20220807_182045828,2022-08-07,Weslaco,,PL- 15,39.660,45.923
IMG_20220807_181844765,2022-08-07,Weslaco,,PL- 14,22.809,26.347
IMG_20220807_182405988,2022-08-07,Weslaco,,PL-8,49.612,61.196
IMG_20220807_183746191,2022-08-07,Weslaco,,PL-9,23.838,29.281
IMG_20220807_184305053,2022-08-07,Weslaco,,PL- 10,26.048,31.89
IMG_20220807_184430820,2022-08-07,Weslaco,,PL- 11,34.077,49.392
IMG_20220807_184626366,2022-08-07,Weslaco,,PL-12,42.136,51.273
IMG_20220807_184909233,2022-08-07,Weslaco,,PL-13,23.620,28.502
IMG_20220807_185018016,2022-08-07,Weslaco,,PL- 14,36.618,45.602
IMG_20220807_185409721,2022-08-07,Weslaco,,PL- 15,39.594,48.343
IMG_20220807_185648331,2022-08-07,Weslaco,,PL-16,32.410,40.632
IMG_20220807_185738726,2022-08-07,Weslaco,,PF-17,36.635,44.753
IMG_20220807_190033410,2022-08-07,Weslaco,,PF-18,44.441,51.449
IMG_20220807_190148060,2022-08-07,Weslaco,,PF-19,36.025,42.974
IMG_20220807_190629173,2022-08-07,Weslaco,,PF-18,39.841,48.815
IMG_20220807_190822629,2022-08-07,Weslaco,,PF-21,47.023,56.446
IMG_20220807_191257475,2022-08-07,Weslaco,,PF-15,30.760,38.309
IMG_20220807_191503360,2022-08-07,Weslaco,,PF-14,24.824,29.866
IMG_20220807_191802925,2022-08-07,Weslaco,,PF-22,39.504,47.733
IMG_20220807_192117542,2022-08-07,Weslaco,,PF-17,32.296,38.832
IMG_20220807_192257372,2022-08-07,Weslaco,,PF-23,21.652,27.065
IMG_20220807_192453413,2022-08-07,Weslaco,,PF- 24,20.284,24.564
IMG_20220807_192759252,2022-08-07,Weslaco,,PF-18,26.275,31.753
IMG_20220807_193033049,2022-08-07,Weslaco,,PF-19,21.967,25.74
IMG_20220808_103749416,2022-08-07,Weslaco,,PF-25,32.842,41.535
IMG_20220808_121302368,2022-08-07,Weslaco,,PF-25,39.502,47.283
IMG_20220808_122014863,2022-08-07,Weslaco,,PF-26,38.816,48.409
