video.ID,fish.ID,sex,pool,site.ID,trial.ID,batch.ID,trial.date,notes,
BR_trial1_01_20220808.mov,PF-08BR,,2,BR-OP,1,1,8-Aug-22,,
BR_trial1_01_20220808.mov,PL-02,,6,BR-OP,1,1,8-Aug-22,missing trial 3,
BR_trial1_01_20220808.mov,PL-07,,3,BR-OP,1,1,8-Aug-22,,
BR_trial1_01_20220808.mov,PL-09,f,1,BR-OP,1,1,8-Aug-22,missing trial 3,
BR_trial1_01_20220808.mov,PL-11,,5,BR-OP,1,1,8-Aug-22,,
BR_trial1_01_20220808.mov,PL-13,m,4,BR-OP,1,1,8-Aug-22,,
BR_trial1_02_20220808.mov,PL-08,,3,BR-OP,1,2,8-Aug-22,,
BR_trial1_02_20220808.mov,PL-12,,2,BR-OP,1,2,8-Aug-22,,
BR_trial1_02_20220808.mov,PL-15,,1,BR-OP,1,2,8-Aug-22,,
BR_trial2_01_20220808.mov,PF-08BR,,3,BR-OP,2,1,8-Aug-22,,
BR_trial2_01_20220808.mov,PL-02,,1,BR-OP,2,1,8-Aug-22,missing trial 3,
BR_trial2_01_20220808.mov,PL-07,,4,BR-OP,2,1,8-Aug-22,,
BR_trial2_01_20220808.mov,PL-09,,2,BR-OP,2,1,8-Aug-22,missing trial 3,
BR_trial2_01_20220808.mov,PL-11,,6,BR-OP,2,1,8-Aug-22,only trial 2?,
BR_trial2_01_20220808.mov,PL-13,,5,BR-OP,2,1,8-Aug-22,only trial 2?,
BR_trial2_02_20220808.mov,PL-08,,6,BR-OP,2,2,8-Aug-22,,
BR_trial2_02_20220808.mov,PL-12,,4,BR-OP,2,2,8-Aug-22,only trial 2?,
BR_trial2_02_20220808.mov,PL-15,,5,BR-OP,2,2,8-Aug-22,,
BR_trial3_01_20220808.mov,PF-08BR,,2,BR-OP,3,1,8-Aug-22,,
BR_trial3_01_20220808.mov,PL-07,,4,BR-OP,3,1,8-Aug-22,,
BR_trial3_01_20220808.mov,PL-08,,5,BR-OP,3,1,8-Aug-22,,
BR_trial3_01_20220808.mov,PL-11,,6,BR-OP,3,1,8-Aug-22,,
BR_trial3_01_20220808.mov,PL-12,,1,BR-OP,3,1,8-Aug-22,,
BR_trial3_01_20220808.mov,PL-13,,3,BR-OP,3,1,8-Aug-22,,
BR_trial3_02_20220808.mov,PL-15,,1,BR-OP,3,2,8-Aug-22,,
BR1_trial1_01_20220810.mov,PF-35,f,2,BR1,1,1,10-Aug-2022,,
BR1_trial1_01_20220810.mov,PF-38,f,1,BR1,1,1,10-Aug-2022,,
BR1_trial1_01_20220810.mov,PF-39,f,5,BR1,1,1,10-Aug-2022,,
BR1_trial1_01_20220810.mov,PL-28,f,3,BR1,1,1,10-Aug-2022,multiple trials across BR1 and BR2,
BR1_trial1_01_20220810.mov,PL-35,m,4,BR1,1,1,10-Aug-2022,missing trial 3,
BR1_trial1_01_20220810.mov,PL-41,f,6,BR1,1,1,10-Aug-2022,,
BR1_trial1_02_20220810.mov,PF-37,f,1,BR1,1,2,10-Aug-2022,two trial 1's,
BR1_trial1_02_20220810.mov,PF-40,f,6,BR1,1,2,10-Aug-2022,missing trial 3,
BR1_trial1_02_20220810.mov,PL-28,f,5,BR1,1,2,10-Aug-2022,multiple trials across BR1 and BR2,"note from lab notebook: PL-28 accidentally went in for part of a trial, removed ~6-7 minutes into tupperware acclimation"
BR1_trial1_02_20220810.mov,PL-31,f,2,BR1,1,2,10-Aug-2022,two trial 1's,
BR1_trial1_02_20220810.mov,PL-32,f,3,BR1,1,2,10-Aug-2022,"two trial 1's, missing trial 3",
BR1_trial1_02_20220810.mov,PL-37,f,4,BR1,1,2,10-Aug-2022,two trial 1's,
BR1_trial2_01_20220810.mov,PF-35,f,5,BR1,2,1,10-Aug-2022,,
BR1_trial2_01_20220810.mov,PF-38,f,6,BR1,2,1,10-Aug-2022,,
BR1_trial2_01_20220810.mov,PF-39,f,2,BR1,2,1,10-Aug-2022,,
BR1_trial2_01_20220810.mov,PL-28,f,4,BR1,2,1,10-Aug-2022,multiple trials across BR1 and BR2,
BR1_trial2_01_20220810.mov,PL-35,m,3,BR1,2,1,10-Aug-2022,missing trial 3,
BR1_trial2_01_20220810.mov,PL-41,f,1,BR1,2,1,10-Aug-2022,,
BR1_trial2_02_20220810.mov,PF-40,,6,BR1,2,2,10-Aug-2022,missing trial 3,
BR1_trial2_02_20220810.mov,PL-29,,2,BR1,2,2,10-Aug-2022,"missing trial 1, split between BR1 and 2",
BR1_trial2_02_20220810.mov,PL-31,,5,BR1,2,2,10-Aug-2022,two trial 1's,
BR1_trial2_02_20220810.mov,PL-32,,4,BR1,2,2,10-Aug-2022,two trial 1's,
BR1_trial2_02_20220810.mov,PL-37,,1,BR1,2,2,10-Aug-2022,two trial 1's,
BR1_trial2_02_20220810.mov,PL-42,,3,BR1,2,2,10-Aug-2022,missing trial 1,
BR1_trial3_01_20220810.mov,PF-39,,2,BR1,3,1,10-Aug-2022,,
BR1_trial3_01_20220810.mov,PL-30,,6,BR1,3,1,10-Aug-2022,,
BR1_trial3_01_20220810.mov,PL-38,,5,BR1,3,1,10-Aug-2022,missing trial 1,
BR1_trial3_01_20220810.mov,PL-39,,1,BR1,3,1,10-Aug-2022,,
BR1_trial3_01_20220810.mov,PL-41,,4,BR1,3,1,10-Aug-2022,,
BR1_trial3_02_20220810.mov,PF-41,,2,BR1,3,2,10-Aug-2022,missing trial 1,
BR1_trial3_02_20220810.mov,PL-31,,4,BR1,3,2,10-Aug-2022,two trial 1's,
BR1_trial3_02_20220810.mov,PL-36,,6,BR1,3,2,10-Aug-2022,missing trial 1,
BR1_trial3_02_20220810.mov,PL-37,,3,BR1,3,2,10-Aug-2022,two trial 1's,
BR2_trial1_01_20220810.mov,PF-36,,3,BR2,1,1,10-Aug-2022,,
BR2_trial1_01_20220810.mov,PL-26,,2,BR2,1,1,10-Aug-2022,,
BR2_trial1_01_20220810.mov,PL-30,,5,BR2,1,1,10-Aug-2022,,
BR2_trial1_01_20220810.mov,PL-34,,4,BR2,1,1,10-Aug-2022,,
BR2_trial1_01_20220810.mov,PL-38,,1,BR2,1,1,10-Aug-2022,,
BR2_trial1_01_20220810.mov,PL-39,,6,BR2,1,1,10-Aug-2022,,
BR2_trial1_02_20220810.mov,PL-27,f,1,BR2,1,2,10-Aug-2022,"this video had the wrong paper label, replaced with lab notebook IDs",
BR2_trial1_02_20220810.mov,PF-40,f,6,BR2,1,2,10-Aug-2022,"this video had the wrong paper label, replaced with lab notebook IDs",
BR2_trial1_02_20220810.mov,PL-28,f,5,BR2,1,2,10-Aug-2022,"this video had the wrong paper label, replaced with lab notebook IDs",
BR2_trial1_02_20220810.mov,PL-31,f,2,BR2,1,2,10-Aug-2022,"this video had the wrong paper label, replaced with lab notebook IDs",
BR2_trial1_02_20220810.mov,PL-32,f,3,BR2,1,2,10-Aug-2022,"this video had the wrong paper label, replaced with lab notebook IDs",
BR2_trial1_02_20220810.mov,PL-37,f,4,BR2,1,2,10-Aug-2022,"this video had the wrong paper label, replaced with lab notebook IDs",
BR2_trial2_01_20220810.mov,PF-36,f,4,BR2,2,1,10-Aug-2022,,
BR2_trial2_01_20220810.mov,PL-26,,5,BR2,2,1,10-Aug-2022,,
BR2_trial2_01_20220810.mov,PL-30,,2,BR2,2,1,10-Aug-2022,,
BR2_trial2_01_20220810.mov,PL-34,m,3,BR2,2,1,10-Aug-2022,,
BR2_trial2_01_20220810.mov,PL-38,f,6,BR2,2,1,10-Aug-2022,missing trial 1,
BR2_trial2_01_20220810.mov,PL-39,m,1,BR2,2,1,10-Aug-2022,,
BR2_trial2_02_20220810.mov,PF-34,,4,BR2,2,2,10-Aug-2022,"missing trial 1, not found",
BR2_trial2_02_20220810.mov,PF-37,,2,BR2,2,2,10-Aug-2022,,
BR2_trial2_02_20220810.mov,PF-41,,5,BR2,2,2,10-Aug-2022,,
BR2_trial2_02_20220810.mov,PL-27,,6,BR2,2,2,10-Aug-2022,no trial 1,
BR2_trial2_02_20220810.mov,PL-36,,3,BR2,2,2,10-Aug-2022,missing trial 1,
BR2_trial3_01_20220810.mov,PF-38,f,4,BR2,3,1,10-Aug-2022,,
BR2_trial3_01_20220810.mov,PL-26,m,2,BR2,3,1,10-Aug-2022,,
BR2_trial3_01_20220810.mov,PL-28,f,5,BR2,3,1,10-Aug-2022,multiple trials across BR1 and BR2,
BR2_trial3_01_20220810.mov,PL-34,m,3,BR2,3,1,10-Aug-2022,,
BR2_trial3_02_20220810.mov,PF-34,f,5,BR2,3,2,10-Aug-2022,"missing trial 1, not found",
BR2_trial3_02_20220810.mov,PF-37,f,6,BR2,3,2,10-Aug-2022,,
BR2_trial3_02_20220810.mov,PL-27,f,4,BR2,3,2,10-Aug-2022,,
BR2_trial3_02_20220810.mov,PL-29,m,3,BR2,3,2,10-Aug-2022,"missing trial 1, split between BR1 and 2",
BR2_trial3_02_20220810.mov,PL-42,f,2,BR2,3,2,10-Aug-2022,,
WES_trial1_01_20220808.mov,PL-25,f,6,WES,1,1,8-Aug-22,two trial 1's,
WES_trial1_01_20220808.mov,PL-05,m,2,WES,1,1,8-Aug-22,missing trial 3,
WES_trial1_01_20220808.mov,PL-22,,3,WES,1,1,8-Aug-22,,
Wes_trial1_01_20220812.mov,PL-52,m,6,WES,1,1,12-Aug-22,missing trial 3,
Wes_trial1_01_20220812.mov,PL-57,f,5,WES,1,1,12-Aug-22,missing trial 3,
Wes_trial1_01_20220812.mov,PL-58,f,2,WES,1,1,12-Aug-22,missing trial 3,
Wes_trial1_01_20220812.mov,PL-59,f,3,WES,1,1,12-Aug-22,missing trial 3,
Wes_trial1_01_20220812.mov,PL-60,m,4,WES,1,1,12-Aug-22,missing trial 3,
Wes_trial1_01_20220812.mov,PL-63,f,1,WES,1,1,12-Aug-22,missing trial 3,
WES_trial1_02_20220808.mov,PF-25B,,5,WES,1,2,8-Aug-22,,
WES_trial1_02_20220808.mov,PF-28,,1,WES,1,2,8-Aug-22,,
WES_trial1_02_20220808.mov,PF-30,,3,WES,1,2,8-Aug-22,no trial 3,
WES_trial1_02_20220808.mov,PF-32,,2,WES,1,2,8-Aug-22,,
WES_trial1_02_20220808.mov,PF-33,,6,WES,1,2,8-Aug-22,,
WES_trial1_02_20220808.mov,PL-20,,4,WES,1,2,8-Aug-22,missing trial 2,
WES_trial1_02_20220812.mov,PL-43,f,5,WES,1,2,12-Aug-22,missing trial 3,
WES_trial1_02_20220812.mov,PL-46,m,4,WES,1,2,12-Aug-22,missing trial 3,
WES_trial1_02_20220812.mov,PL-47,f,1,WES,1,2,12-Aug-22,missing trial 3,
WES_trial1_02_20220812.mov,PL-61,f,2,WES,1,2,12-Aug-22,missing trial 3,
WES_trial1_02_20220812.mov,PL-65,f,3,WES,1,2,12-Aug-22,missing trial 3,
WES_trial1_02_20220812.mov,PL-66,m,6,WES,1,2,12-Aug-22,missing trial 3,
WES_trial1_03_20220808.mov,PF-26,,6,WES,1,3,8-Aug-22,,
WES_trial1_03_20220808.mov,PF-27,,3,WES,1,3,8-Aug-22,,
WES_trial1_03_20220808.mov,PF-31,,5,WES,1,3,8-Aug-22,,
WES_trial1_03_20220808.mov,PL-21,,2,WES,1,3,8-Aug-22,,
WES_trial1_03_20220812.mov,PL-45,,3,WES,1,3,12-Aug-22,missing trial 3,
WES_trial1_03_20220812.mov,PL-49,,5,WES,1,3,12-Aug-22,missing trial 3,
WES_trial1_03_20220812.mov,PL-51,,1,WES,1,3,12-Aug-22,missing trial 3,
WES_trial1_03_20220812.mov,PL-54,,2,WES,1,3,12-Aug-22,missing trial 3,
WES_trial1_03_20220812.mov,PL-55,,4,WES,1,3,12-Aug-22,missing trial 3,
WES_trial1_03_20220812.mov,PL-64,,6,WES,1,3,12-Aug-22,missing trial 3,
WES_trial1_04_20220812.mov,PF-46,,4,WES,1,4,12-Aug-22,missing trial 3,
WES_trial1_04_20220812.mov,PL-44,,2,WES,1,4,12-Aug-22,missing trial 3,
WES_trial1_04_20220812.mov,PL-48,,5,WES,1,4,12-Aug-22,missing trial 3,
WES_trial1_04_20220812.mov,PL-50,,3,WES,1,4,12-Aug-22,missing trial 3,
WES_trial1_04_20220812.mov,PL-53,,6,WES,1,4,12-Aug-22,missing trial 3,
WES_trial1_04_20220812.mov,PL-62,,1,WES,1,4,12-Aug-22,missing trial 3,
WES_trial1_05_20220812.mov,PF-49,,3,WES,1,5,12-Aug-22,missing trial 2 and 3,
WES_trial1_05_20220812.mov,PF-60,,4,WES,1,5,12-Aug-22,missing trial 3,
WES_trial1_05_20220812.mov,PF-61,,6,WES,1,5,12-Aug-22,missing trial 3,
WES_trial1_05_20220812.mov,PF-62,,1,WES,1,5,12-Aug-22,missing trial 3,
WES_trial1_05_20220812.mov,PF-65,,2,WES,1,5,12-Aug-22,missing trial 3,
WES_trial1_05_20220812.mov,PL-56,,5,WES,1,5,12-Aug-22,missing trial 3,
WES_trial2_01_20220808.mov,PL-25,,5,WES,2,1,8-Aug-22,,
WES_trial2_01_20220808.mov,PL-05,,1,WES,2,1,8-Aug-22,missing trial 3,
WES_trial2_01_20220808.mov,PL-22,,4,WES,2,1,8-Aug-22,,
WES_trial2_01_20220812.mov,PL-52,,3,WES,2,1,12-Aug-22,missing trial 3,
WES_trial2_01_20220812.mov,PL-57,,6,WES,2,1,12-Aug-22,missing trial 3,
WES_trial2_01_20220812.mov,PL-58,,2,WES,2,1,12-Aug-22,missing trial 3,
WES_trial2_01_20220812.mov,PL-59,,5,WES,2,1,12-Aug-22,missing trial 3,
WES_trial2_01_20220812.mov,PL-60,,4,WES,2,1,12-Aug-22,missing trial 3,
WES_trial2_01_20220812.mov,PL-63,,1,WES,2,1,12-Aug-22,missing trial 3,
WES_trial2_02_20220808.mov,PF-25B,,5,WES,2,2,8-Aug-22,,
WES_trial2_02_20220808.mov,PF-28,,2,WES,2,2,8-Aug-22,,
WES_trial2_02_20220808.mov,PF-30,,1,WES,2,2,8-Aug-22,no trial 3,
WES_trial2_02_20220808.mov,PF-32,,3,WES,2,2,8-Aug-22,,
WES_trial2_02_20220808.mov,PF-33,,6,WES,2,2,8-Aug-22,,
WES_trial2_02_20220808.mov,PL-20,,4,WES,2,2,8-Aug-22,only trial 2?,
WES_trial2_02_20220812.mov,PL-43,,1,WES,2,2,12-Aug-22,missing trial 3,
WES_trial2_02_20220812.mov,PL-46,,6,WES,2,2,12-Aug-22,missing trial 3,
WES_trial2_02_20220812.mov,PL-47,,5,WES,2,2,12-Aug-22,missing trial 3,
WES_trial2_02_20220812.mov,PL-61,,2,WES,2,2,12-Aug-22,missing trial 3,
WES_trial2_02_20220812.mov,PL-65,,3,WES,2,2,12-Aug-22,missing trial 3,
WES_trial2_02_20220812.mov,PL-66,,4,WES,2,2,12-Aug-22,missing trial 3,
WES_trial2_03_20220808.mov,PF-26,,5,WES,2,3,8-Aug-22,,
WES_trial2_03_20220808.mov,PF-27,,2,WES,2,3,8-Aug-22,,
WES_trial2_03_20220808.mov,PF-31,,3,WES,2,3,8-Aug-22,,
WES_trial2_03_20220808.mov,PL-21,,6,WES,2,3,8-Aug-22,,
WES_trial2_03_20220812.mov,PL-45,f,3,WES,2,3,12-Aug-22,missing trial 3,
WES_trial2_03_20220812.mov,PL-49,m,4,WES,2,3,12-Aug-22,missing trial 3,
WES_trial2_03_20220812.mov,PL-51,f,5,WES,2,3,12-Aug-22,missing trial 3,
WES_trial2_03_20220812.mov,PL-54,m,6,WES,2,3,12-Aug-22,missing trial 3,
WES_trial2_03_20220812.mov,PL-55,f,1,WES,2,3,12-Aug-22,missing trial 3,
WES_trial2_03_20220812.mov,PL-64,f,2,WES,2,3,12-Aug-22,missing trial 3,
WES_trial2_04_20220812.mov,PF-46,f,1,WES,2,4,12-Aug-22,missing trial 3,
WES_trial2_04_20220812.mov,PL-44,f,5,WES,2,4,12-Aug-22,missing trial 3,
WES_trial2_04_20220812.mov,PL-48,f,3,WES,2,4,12-Aug-22,missing trial 3,
WES_trial2_04_20220812.mov,PL-50,f,4,WES,2,4,12-Aug-22,missing trial 3,
WES_trial2_04_20220812.mov,PL-53,f,6,WES,2,4,12-Aug-22,missing trial 3,
WES_trial2_04_20220812.mov,PL-62,f,2,WES,2,4,12-Aug-22,missing trial 3,
WES_trial2_05_20220812.mov,PF-60,,4,WES,2,5,12-Aug-22,missing trial 3,
WES_trial2_05_20220812.mov,PF-61,,1,WES,2,5,12-Aug-22,missing trial 3,
WES_trial2_05_20220812.mov,PF-62,,3,WES,2,5,12-Aug-22,missing trial 3,
WES_trial2_05_20220812.mov,PF-65,,2,WES,2,5,12-Aug-22,missing trial 3,
WES_trial2_05_20220812.mov,PL-56,,5,WES,2,5,12-Aug-22,missing trial 3,
WES_trial3_01_20220809.mov,PF-26,,6,WES,3,1,9-Aug-22,,
WES_trial3_01_20220809.mov,PF-27,,1,WES,3,1,9-Aug-22,,
WES_trial3_01_20220809.mov,PF-28,,5,WES,3,1,9-Aug-22,jumped out of pool partway through trial,
WES_trial3_01_20220809.mov,PF-31,,4,WES,3,1,9-Aug-22,,
WES_trial3_01_20220809.mov,PF-32,,3,WES,3,1,9-Aug-22,,
WES_trial3_01_20220809.mov,PL-21,,2,WES,3,1,9-Aug-22,,
WES_trial3_02_20220809.mov,PL-25,,3,WES,3,2,9-Aug-22,,
WES_trial3_02_20220809.mov,PF-25B,,4,WES,3,2,9-Aug-22,,
WES_trial3_02_20220809.mov,PF-29,,6,WES,3,2,9-Aug-22,"only trial 3, pretty sure this is the only instance of this fish (across lab notebook and vids)",
WES_trial3_02_20220809.mov,PF-33,,1,WES,3,2,9-Aug-22,,
WES_trial3_02_20220809.mov,PL-20,,2,WES,3,2,9-Aug-22,,
WES_trial3_02_20220809.mov,PL-22,,5,WES,3,2,9-Aug-22,,